feature,importance
sc,0.056812420323906744
esm_pca_6,0.04053152356180316
hbond_density,0.03949975847183215
n_hydrophobic_int,0.03924282474506456
hbonds_int,0.03151065426406933
hbond_E_fraction,0.02492963224637882
esm_pca_0,0.0236511838517194
esm_pca_21,0.022590883455116013
esm_pca_2,0.020054074381853974
dSASA_hphobic,0.017080724756863234
dSASA_ag,0.015255583176369892
dSASA_int,0.01521076923466851
dSASA_vhh,0.014829591649548156
dSASA_polar,0.01454956222631862
esm_pca_3,0.013910995494415318
delta_unsatHbonds,0.013557538162739984
esm_pca_12,0.013061721311965048
n_salt_bridges_int,0.011786207332055425
esm_pca_7,0.011558133675523878
omega,0.011128264777053289
esm_pca_10,0.011033355586778157
esm_pca_28,0.01047961041666726
esm_pca_1,0.010139447825142792
esm_pca_5,0.0098462612411235
esm_pca_19,0.009638467791324266
esm_pca_14,0.009548703991576651
nres_int,0.009370231460464675
hbond_sc,0.009196055477768705
fa_atr,0.008865610114772292
esm_pca_37,0.008737439038123102
hbond_bb_sc,0.008459921511147285
esm_pca_15,0.008439561020098985
esm_pca_34,0.008401867070939388
esm_pca_17,0.008347457508265016
esm_pca_24,0.008330436511567329
esm_pca_9,0.008308665642383287
yhh_planarity,0.008287129911294482
hbond_lr_bb,0.008139759292445654
esm_pca_8,0.008133502812109243
n_repulsive_int,0.00812814374621082
esm_pca_25,0.008120686056058974
hbond_sr_bb,0.00809694467661348
pro_close,0.00804285282756309
esm_pca_29,0.007988492947564593
nres_int_ag,0.007964207470055053
esm_pca_11,0.007859703164363914
esm_pca_26,0.007858018586906622
nres_int_vhh,0.007813773893200862
ref,0.007799932747950125
esm_pca_57,0.007783133808373729
esm_pca_23,0.007769879165728843
esm_pca_35,0.007735951267301096
esm_pca_13,0.007711262391923445
esm_pca_36,0.007696855105547632
esm_pca_27,0.007688860008077995
esm_pca_39,0.007584655509997073
esm_pca_47,0.007498148417096685
esm_pca_45,0.007484944512010255
esm_pca_16,0.0074780172014778734
esm_pca_22,0.007391682939725613
esm_pca_33,0.007354607504691376
esm_pca_43,0.0073449818305014345
esm_pca_62,0.007325728636983194
esm_pca_32,0.007289139622886687
esm_pca_56,0.007274223291925926
esm_pca_53,0.007264282832436432
esm_pca_58,0.007252887965835163
esm_pca_50,0.007200730748697559
esm_pca_4,0.007194872950128073
esm_pca_30,0.007189177711152179
esm_pca_31,0.007105349626075216
esm_pca_60,0.0070979528184049205
esm_pca_52,0.007087689208731684
esm_pca_55,0.007044631550625885
esm_pca_46,0.007039513446238334
esm_pca_20,0.007005961770405112
esm_pca_18,0.006976152287580739
esm_pca_63,0.006973807543534381
esm_pca_48,0.006919170625018101
esm_pca_38,0.006906527750165551
esm_pca_41,0.006902874767494918
esm_pca_54,0.0068971935004881225
rama_prepro,0.00687812405147067
esm_pca_59,0.006857942353867228
esm_pca_61,0.00660970670445067
esm_pca_44,0.0065804362666265215
esm_pca_40,0.006508196894742956
esm_pca_49,0.006471460333564453
esm_pca_51,0.006306224485122612
esm_pca_42,0.006279587212242699
dslf_fa13,0.0036619094462854006
n_aromatic_stacking_int,0.0012058976303612494
dG_cross/dSASAx100,2.0986172359283095e-05
dG_cross,1.4531022939356949e-05
complex_normalized,5.861668960660037e-06
