epoch,train_loss,val_loss,val_auroc
1,0.7091253982649909,0.5524413585662842,0.8995314940135345
2,0.5283666941854689,0.4894471764564514,0.9150615998611834
3,0.4497099286980099,0.46794193983078003,0.9193996182543813
4,0.4357150455315908,0.4502345323562622,0.9276418532014575
5,0.3982348918914795,0.43647700548171997,0.9307652264445601
6,0.3707021011246575,0.42052021622657776,0.9328995314940136
7,0.34903164870209163,0.4174266457557678,0.934530626409856
8,0.325907325413492,0.42989352345466614,0.9335936144369252
9,0.303060825003518,0.4314970076084137,0.9337497830990804
10,0.2850816057788001,0.4358387291431427,0.9332986291861878
11,0.28098342617352806,0.41525089740753174,0.9396494881138296
12,0.2625206834740109,0.4241531491279602,0.9365608190178727
13,0.24382752693361706,0.450277715921402,0.9330904043033142
14,0.2800057023763657,0.44420987367630005,0.9325524900225577
15,0.2524245631363657,0.4780202805995941,0.9266354329342357
16,0.2321805155939526,0.43059325218200684,0.9360576088842616
17,0.22585311035315195,0.43155619502067566,0.939614783966684
18,0.21413714869154823,0.47255319356918335,0.9271559951414193
19,0.206753332581785,0.45468583703041077,0.93536352594135
20,0.20315593547291225,0.4542563855648041,0.9347388512927295
21,0.20053973231050704,0.4760061800479889,0.9307131702238418
